"Y(X), créé par Plot Digitizer, 2.6.8"
"Date: 13/09/17, 09:03:21"


24
X,Y
2010.17,0.0497630,
2376.40,0.0521327,
2671.41,0.0829384,
2925.74,0.133886,
3078.33,0.212085,
3586.98,0.516588,
3851.48,0.811611,
4095.63,0.919431,
4319.43,0.926540,
4706.00,0.901659,
5255.34,0.886256,
6201.42,0.909953,
7350.97,0.941943,
7951.17,0.936019,
8459.82,0.905213,
8775.18,0.853081,
9060.02,0.783175,
9436.42,0.638626,
9680.57,0.515403,
9945.07,0.376777,
10311.3,0.196682,
10647.0,0.0663507,
10789.4,0.0260663,
11003.1,0.00118483,
